week,ons_geog_code,percentage_pop_est,percentage_pop_est_lci,percentage_pop_est_uci,pop_est,pop_est_lci,pop_est_uci
2020-18,e92000001,0.27,0.17,0.41,148000.0,94000.0,222000.0
2020-19,e92000001,0.25,0.16,0.38,137000.0,85000.0,208000.0
2020-20,e92000001,0.24,0.11,0.46,133000.0,62000.0,250000.0
2020-20,e92000001,0.1,0.05,0.18,53000.0,25000.0,99000.0
2020-22,e92000001,0.06,0.02,0.12,33000.0,14000.0,68000.0
2020-22,e92000001,0.06,0.02,0.13,33000.0,12000.0,74000.0
2020-24,e92000001,0.09,0.04,0.19,51000.0,21000.0,105000.0
2020-24,e92000001,0.04,0.02,0.08,25000.0,12000.0,44000.0
2020-26,e92000001,0.03,0.01,0.06,14000.0,5000.0,31000.0
2020-28,e92000001,0.04,0.03,0.06,23600.0,15300.0,33900.0
2020-29,e92000001,0.05,0.03,0.07,27700.0,18500.0,39900.0
2020-30,e92000001,0.07,0.04,0.1,35700.0,23700.0,53200.0
2020-31,e92000001,0.05,0.03,0.07,28300.0,18900.0,40800.0
2020-32,e92000001,0.05,0.03,0.07,28300.0,19000.0,40700.0
2020-32,e92000001,0.05,0.03,0.06,24600.0,16900.0,33800.0
2020-33,e92000001,0.05,0.04,0.07,28200.0,20100.0,37900.0
2020-34,e92000001,0.05,0.04,0.07,27100.0,19300.0,36700.0
2020-35,e92000001,0.07,0.05,0.1,39700.0,29300.0,52700.0
2020-36,e92000001,0.11,0.09,0.14,59800.0,46900.0,75200.0
2020-37,e92000001,0.19,0.16,0.23,103600.0,85600.0,123400.0
2020-38,e92000001,0.21,0.18,0.24,116600.0,101000.0,133100.0
2020-39,e92000001,0.41,0.37,0.45,224400.0,203800.0,245700.0
2020-40,e92000001,0.62,0.57,0.66,336500.0,312200.0,362000.0
2020-41,e92000001,0.79,0.75,0.84,433300.0,407500.0,459300.0
2020-42,e92000001,1.04,0.98,1.1,568100.0,536500.0,600400.0
2020-43,e92000001,1.13,1.07,1.2,618700.0,583100.0,655000.0
