Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
2020-18,2020-18,2020-18,,0,
2020-19,2020-19,2020-19,,1,
2020-20,2020-20,2020-20,,2,
2020-22,2020-22,2020-22,,3,
2020-24,2020-24,2020-24,,4,
2020-26,2020-26,2020-26,,5,
2020-28,2020-28,2020-28,,6,
2020-29,2020-29,2020-29,,7,
2020-30,2020-30,2020-30,,8,
2020-31,2020-31,2020-31,,9,
2020-32,2020-32,2020-32,,10,
2020-33,2020-33,2020-33,,11,
2020-34,2020-34,2020-34,,12,
2020-35,2020-35,2020-35,,13,
2020-36,2020-36,2020-36,,14,
2020-37,2020-37,2020-37,,15,
2020-38,2020-38,2020-38,,16,
2020-39,2020-39,2020-39,,17,
2020-40,2020-40,2020-40,,18,
2020-41,2020-41,2020-41,,19,
2020-42,2020-42,2020-42,,20,
2020-43,2020-43,2020-43,,21,
2020-44,2020-44,2020-44,,22,
2020-45,2020-45,2020-45,,23,
2020-46,2020-46,2020-46,,24,
2020-47,2020-47,2020-47,,25,
2020-48,2020-48,2020-48,,26,
2020-49,2020-49,2020-49,,27,
2020-50,2020-50,2020-50,,28,
2020-51,2020-51,2020-51,,29,
2020-52,2020-52,2020-52,,30,
2021-1,2021-1,2021-1,,31,
2021-10,2021-10,2021-10,,32,
2021-11,2021-11,2021-11,,33,
2021-12,2021-12,2021-12,,34,
2021-13,2021-13,2021-13,,35,
2021-14,2021-14,2021-14,,36,
2021-15,2021-15,2021-15,,37,
2021-17,2021-17,2021-17,,38,
2021-18,2021-18,2021-18,,39,
2021-19,2021-19,2021-19,,40,
2021-2,2021-2,2021-2,,41,
2021-20,2021-20,2021-20,,42,
2021-21,2021-21,2021-21,,43,
2021-22,2021-22,2021-22,,44,
2021-23,2021-23,2021-23,,45,
2021-24,2021-24,2021-24,,46,
2021-25,2021-25,2021-25,,47,
2021-26,2021-26,2021-26,,48,
2021-27,2021-27,2021-27,,49,
2021-28,2021-28,2021-28,,50,
2021-29,2021-29,2021-29,,51,
2021-3,2021-3,2021-3,,52,
2021-30,2021-30,2021-30,,53,
2021-31,2021-31,2021-31,,54,
2021-32,2021-32,2021-32,,55,
2021-33,2021-33,2021-33,,56,
2021-34,2021-34,2021-34,,57,
2021-35,2021-35,2021-35,,58,
2021-36,2021-36,2021-36,,59,
2021-37,2021-37,2021-37,,60,
2021-38,2021-38,2021-38,,61,
2021-39,2021-39,2021-39,,62,
2021-4,2021-4,2021-4,,63,
2021-40,2021-40,2021-40,,64,
2021-41,2021-41,2021-41,,65,
2021-42,2021-42,2021-42,,66,
2021-43,2021-43,2021-43,,67,
2021-44,2021-44,2021-44,,68,
2021-45,2021-45,2021-45,,69,
2021-46,2021-46,2021-46,,70,
2021-47,2021-47,2021-47,,71,
2021-48,2021-48,2021-48,,72,
2021-49,2021-49,2021-49,,73,
2021-5,2021-5,2021-5,,74,
2021-50,2021-50,2021-50,,75,
2021-51,2021-51,2021-51,,76,
2021-52,2021-52,2021-52,,77,
2021-53,2021-53,2021-53,,78,
2021-6,2021-6,2021-6,,79,
2021-7,2021-7,2021-7,,80,
2021-8,2021-8,2021-8,,81,
2021-9,2021-9,2021-9,,82,
2022-1,2022-1,2022-1,,83,
2022-10,2022-10,2022-10,,84,
2022-11,2022-11,2022-11,,85,
2022-12,2022-12,2022-12,,86,
2022-13,2022-13,2022-13,,87,
2022-14,2022-14,2022-14,,88,
2022-15,2022-15,2022-15,,89,
2022-16,2022-16,2022-16,,90,
2022-17,2022-17,2022-17,,91,
2022-18,2022-18,2022-18,,92,
2022-19,2022-19,2022-19,,93,
2022-2,2022-2,2022-2,,94,
2022-20,2022-20,2022-20,,95,
2022-21,2022-21,2022-21,,96,
2022-22,2022-22,2022-22,,97,
2022-23,2022-23,2022-23,,98,
2022-24,2022-24,2022-24,,99,
2022-25,2022-25,2022-25,,100,
2022-26,2022-26,2022-26,,101,
2022-27,2022-27,2022-27,,102,
2022-28,2022-28,2022-28,,103,
2022-29,2022-29,2022-29,,104,
2022-3,2022-3,2022-3,,105,
2022-30,2022-30,2022-30,,106,
2022-32,2022-32,2022-32,,107,
2022-33,2022-33,2022-33,,108,
2022-34,2022-34,2022-34,,109,
2022-35,2022-35,2022-35,,110,
2022-36,2022-36,2022-36,,111,
2022-37,2022-37,2022-37,,112,
2022-39,2022-39,2022-39,,113,
2022-4,2022-4,2022-4,,114,
2022-40,2022-40,2022-40,,115,
2022-41,2022-41,2022-41,,116,
2022-42,2022-42,2022-42,,117,
2022-43,2022-43,2022-43,,118,
2022-44,2022-44,2022-44,,119,
2022-45,2022-45,2022-45,,120,
2022-46,2022-46,2022-46,,121,
2022-48,2022-48,2022-48,,122,
2022-5,2022-5,2022-5,,123,
2022-51,2022-51,2022-51,,124,
2022-52,2022-52,2022-52,,125,
2022-6,2022-6,2022-6,,126,
2022-7,2022-7,2022-7,,127,
2022-8,2022-8,2022-8,,128,
2022-9,2022-9,2022-9,,129,
